iter	Passed	Remaining
0	1	435
1	1	287
2	2	233
3	2	206
4	3	188
5	3	176
6	4	170
7	4	163
8	4	157
9	5	152
10	5	147
11	6	144
12	6	142
13	6	139
14	7	136
15	7	134
16	7	131
17	8	129
18	8	127
19	8	125
20	9	123
21	9	122
22	9	119
23	10	117
24	10	116
25	10	115
26	11	114
27	11	113
28	12	112
29	12	111
30	12	110
31	13	110
32	13	109
33	13	108
34	14	107
35	14	106
36	14	105
37	15	105
38	15	104
39	15	103
40	16	102
41	16	101
42	16	101
43	17	100
44	17	99
45	17	98
46	18	98
47	18	97
48	18	96
49	19	95
50	19	95
51	19	94
52	20	93
53	20	93
54	20	92
55	21	91
56	21	91
57	21	91
58	22	90
59	22	89
60	22	89
61	23	88
62	23	88
63	23	87
64	24	87
65	24	86
66	24	86
67	25	85
68	25	84
69	25	84
70	26	83
71	26	83
72	26	82
73	26	82
74	27	81
75	27	81
76	27	80
77	28	80
78	28	79
79	28	79
80	29	78
81	29	78
82	29	77
83	30	77
84	30	76
85	30	75
86	30	75
87	31	74
88	31	74
89	31	73
90	32	73
91	32	73
92	32	72
93	32	72
94	33	71
95	33	71
96	33	70
97	34	70
98	34	70
99	34	69
100	35	69
101	35	68
102	35	68
103	36	67
104	36	67
105	36	67
106	36	66
107	37	66
108	37	65
109	37	65
110	38	64
111	38	64
112	38	64
113	39	63
114	39	63
115	39	62
116	39	62
117	40	62
118	40	61
119	40	61
120	41	60
121	41	60
122	41	60
123	41	59
124	42	59
125	42	58
126	42	58
127	43	57
128	43	57
129	43	57
130	44	56
131	44	56
132	44	56
133	45	55
134	45	55
135	45	55
136	45	54
137	46	54
138	46	53
139	46	53
140	47	53
141	47	52
142	47	52
143	48	52
144	48	51
145	48	51
146	48	50
147	49	50
148	49	50
149	49	49
150	50	49
151	50	49
152	50	48
153	51	48
154	51	47
155	51	47
156	51	47
157	52	46
158	52	46
159	52	46
160	52	45
161	53	45
162	53	44
163	53	44
164	54	44
165	54	43
166	54	43
167	54	43
168	55	42
169	55	42
170	55	42
171	56	41
172	56	41
173	56	41
174	56	40
175	57	40
176	57	40
177	57	39
178	58	39
179	58	38
180	58	38
181	59	38
182	59	37
183	59	37
184	59	37
185	60	36
186	60	36
187	60	36
188	61	35
189	61	35
190	61	35
191	61	34
192	62	34
193	62	34
194	62	33
195	62	33
196	63	33
197	63	32
198	63	32
199	64	32
200	64	31
201	64	31
202	64	31
203	65	30
204	65	30
205	65	30
206	66	29
207	66	29
208	66	29
209	66	28
210	67	28
211	67	28
212	67	27
213	68	27
214	68	27
215	68	26
216	69	26
217	69	26
218	69	25
219	69	25
220	70	25
221	70	24
222	70	24
223	70	24
224	71	23
225	71	23
226	71	23
227	72	22
228	72	22
229	72	22
230	72	21
231	73	21
232	73	21
233	73	20
234	73	20
235	74	20
236	74	19
237	74	19
238	75	19
239	75	18
240	75	18
241	76	18
242	76	17
243	76	17
244	76	17
245	77	16
246	77	16
247	77	16
248	77	15
249	78	15
250	78	15
251	78	15
252	79	14
253	79	14
254	79	14
255	79	13
256	80	13
257	80	13
258	80	12
259	81	12
260	81	12
261	81	11
262	81	11
263	82	11
264	82	10
265	82	10
266	83	10
267	83	9
268	83	9
269	83	9
270	84	9
271	84	8
272	84	8
273	85	8
274	85	7
275	85	7
276	86	7
277	86	6
278	86	6
279	86	6
280	87	5
281	87	5
282	87	5
283	88	4
284	88	4
285	88	4
286	89	4
287	89	3
288	89	3
289	89	3
290	90	2
291	90	2
292	90	2
293	91	1
294	91	1
295	91	1
296	91	0
297	92	0
298	92	0
299	92	0
